Word	Frequency	Posting list
big	16	[222, 224, 225, 226, 227, 228, 229, 1013, 1102, 1115, 1458, 1459, 1460, 1461, 1463, 1464]
milo	1	[1431]
bamba	1	[848]
apollo	1	[143]
tall	3	[1771, 1772, 1925]
that	7	[96, 97, 345, 1292, 1418, 1419, 1945]
flashdance	1	[593]
happened	2	[788, 789]
fistful	1	[28]
crossfire	1	[424]
public	1	[1718]
master	1	[1662]
die	7	[475, 476, 477, 478, 680, 1204, 1709]
kill	7	[274, 572, 686, 826, 827, 828, 882]
sleep	1	[1448]
uhf	1	[1896]
harry	9	[482, 689, 690, 691, 692, 693, 694, 1790, 1947]
roger	2	[1200, 1951]
pom	1	[1125]
nothing	1	[1050]
major	1	[926]
rae	1	[1047]
proof	1	[1149]
laura	1	[866]
batman	6	[184, 185, 186, 187, 188, 189]
expendable	1	[1824]
sword	1	[1767]
lisa	1	[981]
marvins	1	[944]
we	1	[1933]
she	1	[1291]
eternity	1	[626]
dragonslayer	1	[513]
quiet	1	[1721]
kurtaran	1	[431]
bubble	1	[301]
norma	1	[1047]
21	2	[8, 183]
wet	2	[1226, 1938]
brigham	1	[284]
badlands	1	[174]
layer	1	[868]
may	2	[1270, 1940]
reign	1	[1174]
english	3	[807, 1533, 1893]
young	6	[284, 1987, 1989, 1990, 1991, 1992]
octopussy	1	[1060]
vanishing	1	[1794]
advocate	1	[471]
pandora	1	[1089]
also	1	[680]
waking	1	[1923]
marienbad	1	[863]
boulevard	1	[1383]
moulin	2	[995, 996]
taxi	2	[1412, 1413]
darkness	3	[146, 1136, 1563]
exorcist	1	[1537]
summer	5	[750, 754, 1379, 1380, 1938]
independence	1	[775]
else	1	[141]
adventure	9	[63, 1102, 1428, 1429, 1430, 1431, 1432, 1434, 1710]
escape	2	[553, 1578]
gordons	1	[592]
inc	1	[985]
dazed	1	[449]
flying	1	[1829]
kid	6	[314, 345, 587, 732, 733, 1615]
thomas	1	[1828]
take	1	[1408]
hero	2	[823, 896]
any	2	[140, 641]
boot	1	[440]
speed	1	[1342]
rique	1	[980]
alexandra	1	[1038]
guide	1	[1592]
red	6	[1158, 1171, 1173, 1438, 1464, 1725]
there	2	[208, 1820]
eraser	1	[550]
grifter	1	[1585]
twentieth	1	[1887]
a	62	[20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 32, 33, 34, 35, 37, 38, 39, 40, 41, 42, 43, 45, 46, 48, 49, 51, 52, 120, 151, 371, 406, 407, 456, 478, 498, 600, 717, 748, 766, 790, 847, 856, 907, 928, 1050, 1068, 1069, 1070, 1073, 1170, 1225, 1226, 1249, 1276, 1372, 1467, 1635, 1834, 1845, 1849, 1948, 1971]
leave	1	[869]
permanent	1	[1510]
brother	6	[256, 296, 297, 1057, 1269, 1892]
happy	1	[683]
sex	2	[1273, 1746]
gold	4	[98, 919, 1569, 1898]
swimfan	1	[1400]
godfather	3	[1566, 1567, 1852]
starship	1	[1361]
lantern	1	[1158]
screamer	1	[1255]
leopold	1	[821]
switching	1	[1404]
song	4	[46, 1330, 1735, 1757]
commando	2	[402, 1376]
driver	1	[1413]
trainspotting	1	[1875]
once	3	[1068, 1069, 1070]
patton	1	[1099]
bloodsport	1	[248]
thelma	1	[1818]
change	1	[356]
gallipoli	1	[631]
50	1	[154]
attraction	2	[574, 867]
1947	1	[1128]
xxx	2	[237, 1979]
adverse	1	[136]
exhale	1	[1922]
ten	2	[1774, 1802]
1964	3	[45, 567, 588]
fifth	1	[1543]
nger	1	[500]
christmas	2	[24, 1682]
fearless	1	[577]
munchausen	1	[1428]
willow	1	[1960]
foot	1	[154]
tiffany	1	[278]
kane	1	[378]
indochine	1	[777]
official	1	[1687]
conan	1	[405]
baghdad	1	[895]
spinal	1	[1826]
kate	1	[821]
fanboys	1	[569]
scent	1	[1249]
framed	1	[1951]
stuff	1	[1731]
cristo	1	[1507]
foul	1	[607]
pussycat	2	[572, 810]
1949	1	[1233]
domestic	1	[494]
meteor	1	[965]
duct	1	[521]
baby	4	[162, 163, 290, 1834]
planet	5	[191, 213, 604, 1438, 1876]
never	1	[1858]
menace	1	[962]
monte	1	[1507]
recall	1	[1868]
anywhere	1	[142]
gosford	1	[665]
kumar	1	[688]
spider	3	[1345, 1346, 1347]
dame	2	[433, 1598]
basterds	1	[778]
libeled	1	[881]
sexmission	1	[1274]
madame	1	[923]
magic	3	[924, 1130, 1828]
quo	1	[1148]
wee	1	[1102]
beverly	2	[217, 218]
bye	1	[660]
mughal	1	[1005]
on	21	[4, 224, 288, 334, 730, 739, 740, 910, 933, 934, 993, 1055, 1067, 1226, 1372, 1484, 1584, 1750, 1929, 1946, 1984]
safety	1	[1229]
stage	1	[1353]
1999	5	[155, 651, 740, 1675, 1833]
friend	2	[1012, 1109]
30	1	[4]
mannequin	1	[938]
1959	2	[811, 1674]
resurrection	1	[88]
jurassic	2	[813, 814]
sabotage	1	[1228]
kipling	1	[1212]
hunter	3	[769, 1519, 1959]
mystery	1	[1021]
enemy	3	[205, 546, 1718]
third	3	[389, 1302, 1783]
mal	1	[929]
or	2	[647, 1848]
new	7	[553, 633, 714, 837, 1036, 1532, 1936]
wood	2	[532, 1969]
mccabe	1	[951]
afternoon	2	[964, 1226]
giant	2	[797, 1608]
martian	1	[1235]
o	2	[1057, 1224]
wonderful	1	[790]
cannonball	2	[326, 1493]
runner	1	[241]
sangamam	1	[1227]
called	1	[27]
jaw	2	[798, 799]
ali	1	[80]
battle	2	[191, 192]
ryan	1	[1240]
hit	1	[1460]
world	9	[147, 413, 438, 1312, 1782, 1812, 1904, 1928, 1932]
stalingrad	1	[1356]
awful	1	[1446]
before	3	[204, 459, 1682]
lethal	3	[876, 877, 878]
mnemonic	1	[808]
spartan	1	[1340]
raising	2	[1159, 1160]
barry	1	[181]
nation	2	[87, 1467]
pit	1	[1756]
bite	1	[1168]
of	167	[28, 34, 38, 42, 52, 57, 70, 79, 98, 134, 146, 154, 175, 191, 192, 210, 213, 263, 281, 282, 289, 292, 298, 356, 360, 371, 381, 382, 389, 406, 407, 442, 443, 445, 447, 448, 456, 528, 543, 554, 575, 576, 579, 633, 689, 690, 692, 694, 700, 738, 769, 770, 771, 772, 781, 811, 836, 837, 838, 840, 859, 867, 873, 940, 946, 964, 987, 988, 1025, 1061, 1085, 1086, 1098, 1114, 1123, 1136, 1156, 1174, 1180, 1231, 1234, 1249, 1251, 1276, 1277, 1290, 1294, 1312, 1328, 1330, 1331, 1374, 1380, 1390, 1395, 1399, 1424, 1428, 1429, 1430, 1431, 1432, 1434, 1435, 1441, 1456, 1457, 1467, 1469, 1490, 1498, 1500, 1501, 1507, 1524, 1526, 1529, 1534, 1540, 1549, 1598, 1606, 1629, 1630, 1631, 1635, 1640, 1642, 1658, 1659, 1660, 1661, 1662, 1692, 1698, 1699, 1703, 1704, 1711, 1712, 1715, 1716, 1730, 1744, 1748, 1752, 1757, 1761, 1762, 1763, 1764, 1768, 1770, 1773, 1789, 1793, 1797, 1801, 1808, 1810, 1815, 1817, 1832, 1869, 1904, 1928, 1966]
greed	1	[671]
pinchcliffe	1	[1116]
minority	1	[972]
jailhouse	1	[796]
2002	6	[317, 369, 382, 639, 1478, 1507]
monsieur	1	[982]
soul	1	[1333]
highway	1	[902]
art	1	[1057]
sting	1	[1760]
space	4	[904, 1062, 1336, 1337]
stopped	1	[1604]
garcia	1	[289]
come	6	[398, 399, 715, 716, 861, 1940]
tadpole	1	[1407]
arrow	2	[294, 295]
rain	2	[1144, 1157]
modern	1	[979]
51st	1	[1422]
zorba	1	[1996]
buddy	1	[1487]
tomorrow	5	[20, 215, 1312, 1516, 1858]
prix	2	[668, 1116]
volume	2	[826, 827]
face	3	[130, 565, 1539]
scooby	1	[1252]
stable	1	[399]
fleece	1	[1844]
trespasser	1	[1788]
rogue	1	[1735]
sunrise	1	[1382]
source	1	[939]
parade	3	[529, 1463, 1645]
destroyer	1	[405]
